0.9527625313	mole
0.9509917560	panini
0.9506618614	fondue
0.9503390746	fridays
0.9501625313	sirloin
0.9497349583	magazine
0.9490057412	philly
0.9480344532	meatloaf
0.9479709362	sichuan
0.9476060688	mocha
0.9471636316	ristorante
0.9466200795	latin
0.9463323265	sochu
0.9463241823	mimosa
0.9462473115	chimichanga
0.9456827198	northern
0.9455213458	smith
0.9454428778	lululemon
0.9451026096	naan
0.9450394021	yelper
0.9449496402	antipasto
0.9447957509	police
0.9446915748	raspberry
0.9446465312	serrano
0.9446403095	hef
0.9443889343	samurai
0.9443488168	mormon
0.9441958647	ale
0.9440908489	coach
0.9440343966	redbox
0.9438908489	bourbon
0.9438075424	farms
0.9436684456	rack
0.9436214023	foursquare
0.9435699269	med
0.9435361234	styrofoam
0.9434864187	tom
0.9434459999	inn
0.9434331954	custard
0.9434057412	italy
0.9432886429	champs
0.9431394021	buffalo
0.9431291980	cherry
0.9430908489	monkey
0.9430770781	ribeye
0.9430767039	foothills
0.9430757386	skillet
0.9429657982	priceline
0.9429006369	tostada
0.9428126666	cali
0.9428071551	java
0.9427017789	rainbow
0.9426170379	sunbru
0.9424096402	hollandaise
0.9421048079	tia
0.9420501532	brewery
0.9420329567	peruvian
0.9419393750	village
0.9419130814	mediterranean
0.9418656792	camarones
0.9418652593	church
0.9418609144	kahlua
0.9417971981	yoga
0.9416057412	vegas
0.9415844472	twitter
0.9415258211	paneer
0.9414839256	hero
0.9413739005	rewards
0.9413582415	square
0.9413250893	steakhouse
0.9413007255	cuban
0.9412582208	italians
0.9412388704	omelette
0.9411917560	southwest
0.9410994846	latte
0.9410603573	theatre
0.9409907523	coors
0.9408743587	meatball
0.9407587604	university
0.9406964924	mexi
0.9406677709	revolver
0.9406583148	cheesesteak
0.9406382421	flatbread
0.9406303503	coke
0.9406254595	hawaiian
0.9406096402	habit
0.9405679792	taiwanese
0.9405583148	tamale
0.9405060688	casino
0.9403458615	ceviche
0.9403114332	fillet
0.9401584226	pasty
0.9401024625	english
0.9400017789	chai
0.9398839256	taro
0.9398748572	barn
0.9398488928	cliff
0.9398007255	baja
0.9397501376	motel
0.9396344959	pomegranate
0.9395367578	beauty
0.9395254595	ahwatukee
0.9395055800	hamburger
0.9394573983	carpaccio
0.9394063690	tapatio
0.9393361250	president
0.9393199921	mankind
0.9393007255	barrio
0.9392754607	sportsman's
0.9392468795	wing
0.9392405158	polish
0.9392389676	hibachi
0.9391878363	german
0.9391814994	gouda
0.9391584226	trail
0.9391492462	hospital
0.9391401011	golds
0.9391303360	florentine
0.9389956413	crepe
0.9387981407	echo
0.9387587604	turf
0.9387180998	glow
0.9387032798	diamondbacks
0.9386837046	prius
0.9386787989	bonnie
0.9386431428	vista
0.9386297083	injera
0.9385906122	press
0.9385658024	champagne
0.9385367185	dynamite
0.9384921262	spanish
0.9384719318	courtyard
0.9384703420	virginia
0.9384088411	fossil
0.9383523043	bros
0.9383341000	library
0.9383334742	trolley
0.9383250893	burro
0.9382922919	rum
0.9382781804	thom
0.9382622679	horse
0.9382341000	espresso
0.9381858211	gallery
0.9381563251	port
0.9381200795	dos
0.9381088161	dr's
0.9381065310	london
0.9380908489	arts
0.9380822072	jones
0.9380591544	canal
0.9380591227	pepsi
0.9380483349	fuego
0.9380246903	chard
0.9380220872	shanghai
0.9379654595	persian
0.9378505688	mexico
0.9378430785	blonde
0.9378376776	paris
0.9378318877	see's
0.9378166948	studio
0.9378162672	ranchero
0.9378131256	explorer
0.9378114692	symphony
0.9377806804	patron
0.9377806059	georgia
0.9377744647	bush
0.9377591703	allen
0.9377451649	buddha
0.9377189794	academy
0.9377108211	swiss
0.9376621637	vancouver
0.9375864248	craftsman
0.9375447231	parker
0.9374934033	carefree
0.9374703420	strongbow
0.9374525811	alfredo
0.9374354849	therapy
0.9374108211	loop
0.9374107413	rep
0.9373114692	donkey
0.9372824967	yakisoba
0.9372662592	longhorn
0.9372160804	prosciutto
0.9371966227	december
0.9371944585	aioli
0.9371686267	cheeseburger
0.9371574942	seattle
0.9371072053	rogue
0.9371004828	matts
0.9369539985	scallop
0.9368952140	boulders
0.9368664335	greyhound
0.9368484288	suites
0.9368348523	snapper
0.9368249402	larb
0.9368060688	ranch
0.9368007255	panda
0.9367898807	royal
0.9367844808	zin
0.9367269014	alexander
0.9367241823	flan
0.9367109867	tiramisu
0.9367091703	yuma
0.9367027901	cider
0.9367012956	pozole
0.9366975390	dysart
0.9366872268	orzo
